1gyb 1gy7 |  4.53  8.62 11.55 16.66 |  4.79  7.50 14.76 15.15 |  4.98  7.67 10.99 14.83 |  4.53  7.50 10.99 14.83 |  3.73  7.64 13.05 13.73 |  6.01  7.96 12.23 15.15 |  4.46  4.59 12.19 13.71 |  3.73  4.59 12.19 13.71 |  122    5  122
1h6w  -   |  6.10 18.63 19.07 25.35 |  8.22  8.22 19.27 20.32 |  9.46 10.20 12.11 25.23 |  6.10  8.22 12.11 20.32 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  151   10   - 
1hc9 2abx |  6.87 10.59 12.91 14.26 |  6.21  6.52  7.17  7.94 |  6.67 11.81 13.69 14.50 |  6.21  6.52  7.17  7.94 |  6.14  7.58 10.07 10.19 |  6.50  7.22  7.96  8.76 |  8.02  9.53 10.21 11.18 |  6.14  7.22  7.96  8.76 |   74   13   74
1i8k  -   |  3.60  4.00  4.04  8.50 |  5.53  5.82  7.20  7.64 |  4.92  5.50  6.94  7.80 |  3.60  4.00  4.04  7.64 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  225   10   - 
1iak  -   |  3.40  4.19  4.19  5.13 |  5.56  8.19 10.16 18.04 |  3.98  3.98  5.20  5.85 |  3.40  3.98  4.19  5.13 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  367   13   - 
1ihj  -   |  2.58  3.71  4.42  6.99 |  2.70  2.72  5.29  6.50 |  2.17  4.84  5.67  7.03 |  2.17  2.72  4.42  6.50 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |   94    5   - 
1jbu 2bz6 |  7.73  9.67 13.45 19.68 |  9.39 14.52 14.52 26.58 |  7.39 13.46 21.87 24.87 |  7.39  9.67 13.45 19.68 |  8.03 16.66 18.28 22.88 |  7.76 16.35 21.50 23.07 |  6.00  9.88 10.72 10.51 |  6.00  9.88 10.72 10.51 |  239   15  254
1jd5 1qbh |  2.85  2.85  5.88 16.12 |  5.31 13.06 15.47 20.07 |  6.04  9.00 11.69 15.18 |  2.85  2.85  5.88 15.18 |  4.72  7.01  9.44 13.51 |  5.44  6.00  8.96 12.80 |  6.09  6.09  8.51 10.44 |  4.72  6.00  8.51 10.44 |  105    8  103
1jwg 1jwf |  2.53  3.48  4.41  5.27 |  2.29  2.29  3.92  6.75 |  2.38  2.38  4.21  5.87 |  2.29  2.29  3.92  5.27 |  2.17  3.89  4.46  4.70 |  2.52  2.52  4.94  5.71 |  2.35  2.46  4.24  5.96 |  2.17  2.46  4.24  4.70 |  140    5  139
1kl3 2rtm |  2.60  3.51  5.14  5.33 |  2.91  4.33  4.82  5.92 |  2.45  4.29  4.92  5.21 |  2.45  3.51  4.82  5.21 |  4.44  5.13  6.41  6.93 |  5.28  5.57  5.96  6.79 |  5.09  5.25  6.20  6.49 |  4.44  5.13  5.96  6.49 |  120    6  123
1klu 1pyw |  3.57  3.89  4.79  5.86 |  3.64  3.91  4.50  5.30 |  3.75  3.80  5.02  6.27 |  3.57  3.80  4.50  5.30 |  3.62  3.65  3.79  4.68 |  4.62  5.23  5.54  5.80 |  3.93  5.50  5.55  6.33 |  3.62  3.65  3.79  4.68 |  369   15  369
1lvm 1lvb |  6.13  7.88 17.09 13.47 |  5.68  9.59 12.52 14.37 |  5.42  6.07 14.41 15.07 |  5.42  6.07 12.52 13.47 |  5.73  7.41 13.21 18.56 |  5.73 13.74 14.39 18.30 |  7.12  7.12 15.60 17.56 |  5.73  7.12 13.21 17.56 |  229    7  214
1mfg 2h3l |  4.62  4.86  6.78  9.49 |  2.99  4.60 10.10  7.37 |  3.71  3.71  7.25  6.78 |  2.99  3.71  6.78  6.78 |  4.36  4.66  6.77 12.20 |  4.96  4.96 14.76 14.90 |  3.54  4.71  4.71  9.11 |  3.54  4.66  4.71  9.11 |   95    9  103
1mvu  -   |  4.26  4.26  5.47  9.85 |  3.74  4.33  4.89  5.29 |  3.29  4.84  6.58  7.77 |  3.29  4.26  4.89  5.29 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  333   13   - 
1n12  -   |  8.43  8.43  9.40 12.11 |  8.31  8.31  8.72 10.46 |  9.46  9.89 12.78 14.93 |  8.31  8.31  8.72 10.46 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  136   11   - 
1n7f 1n7e |  4.18  7.13  7.81  9.15 |  4.22  7.07 12.76 12.42 |  4.72  6.20 10.91 13.10 |  4.18  6.20  7.81  9.15 |  4.79  4.79  8.03 11.97 |  4.08  8.01 11.44 11.26 |  3.79  6.19 10.49 16.36 |  3.79  4.79  8.03 11.26 |   86    8   95
1nln  -   |  3.34  3.62  3.97  5.23 |  5.57  7.07  8.61 12.81 |  3.07  3.70  3.74 12.51 |  3.07  3.62  3.74  5.23 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  203   11   - 
1nq7 1n83 |  2.85  2.85  2.85  8.31 |  1.03  1.03  1.11  4.66 |  1.17  1.17  2.47  2.73 |  1.03  1.03  1.11  2.73 |  1.12  1.13  1.13  2.39 |  2.73  2.73  3.74  3.84 |  1.48  3.56  8.30  8.56 |  1.12  1.13  1.13  2.39 |  244   10  251
1ntv  -   |  3.14  3.14  5.92 10.00 |  2.89  2.89  3.71  5.28 |  3.60  4.30  5.39 14.30 |  2.89  2.89  3.71  5.28 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  152   10   - 
1nvr 2qhn |  5.24  6.20  9.11  8.68 |  2.83  2.83  6.39  7.50 |  1.68  1.68  4.06  4.15 |  1.68  1.68  4.06  4.15 |  4.90  6.27  7.28  9.16 |  3.74  3.87  7.10  5.22 |  4.62  5.12  8.55  9.79 |  3.74  3.87  7.10  5.22 |  264    5  268
1nx1 1alv |  3.03  3.20  3.70  4.20 |  2.82  2.98  3.26  4.68 |  2.92  2.94  3.33  4.95 |  2.82  2.94  3.26  4.20 |  1.99  2.55  3.60  3.32 |  2.83  3.24  3.73  4.87 |  1.68  2.12  3.20  2.47 |  1.68  2.12  3.20  2.47 |  173   11  173
1oai 1go5 |  3.81  4.86  5.27  6.84 |  3.04  3.56  5.54  6.68 |  3.23  4.75  6.18  6.53 |  3.04  3.56  5.27  6.53 |  3.38  3.92  4.92  5.22 |  2.89  3.40  3.65  4.66 |  4.17  4.67 11.15 12.66 |  2.89  3.40  3.65  4.66 |   59    9   71
1ou8 1ou9 |  4.17  4.17  5.93  9.04 |  4.86  7.38  9.21 10.79 |  2.98  3.97  5.65  5.56 |  2.98  3.97  5.65  5.56 |  3.58  4.21  4.97  6.78 |  3.64  3.64  4.93 11.23 |  3.25  4.56  4.81  5.18 |  3.25  3.64  4.81  5.18 |  106    8  121
1pz5 1m7d |  4.58  4.58  5.80  5.63 |  4.69  5.18  5.32  5.22 |  5.02  5.97  7.73  8.22 |  4.58  4.58  5.32  5.22 |  5.61  6.35  7.40 13.37 |  5.29  5.84  6.78 13.62 |  3.94  4.67  5.50  5.89 |  3.94  4.67  5.50  5.89 |  435    8  435
1qkz  -   |  5.00  6.45 10.31 15.24 |  6.71  7.72 11.97 13.27 |  6.96  6.96  6.96 10.69 |  5.00  6.45  6.96 10.69 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  219   10   - 
1rxz 1rwz |  6.76  6.76 11.68 13.38 |  4.46  5.22  8.50 11.28 |  3.54  3.90  6.16  6.11 |  3.54  3.90  6.16  6.11 |  6.17 10.34 11.20 23.02 |  4.71  4.71  8.11 19.96 |  4.73  4.89  6.67  7.61 |  4.71  4.71  6.67  7.61 |  245   11  244
1se0 3siq |  6.16  7.78 11.06 17.95 |  4.05  4.05  9.08  7.55 |  5.34  7.02  9.00  9.06 |  4.05  4.05  9.00  7.55 |  5.08  5.08  9.61 10.19 |  7.67  7.67  8.73 15.02 |  8.65  8.65  8.65 14.31 |  5.08  5.08  8.65 10.19 |   97    7  103
1sfi 1utn |  7.80  7.80 10.63 13.04 |  7.18  7.18  7.36  7.77 |  6.74  8.53  8.78 11.51 |  6.74  7.18  7.36  7.77 |  7.74  8.46  8.73 12.33 |  6.95  7.66  8.69 10.88 |  7.27  7.91  9.31 10.01 |  6.95  7.66  8.69 10.01 |  223   14  223
1ssh 1oot |  3.00  4.79  5.35  7.05 |  4.19  4.67  5.44  5.41 |  3.74  4.32  5.33  5.68 |  3.00  4.32  5.33  5.41 |  3.43  4.62  5.97  6.97 |  4.27  4.97  6.10  6.90 |  3.97  4.62  5.73  7.12 |  3.43  4.62  5.73  6.90 |   60   11   58
1svz  -   |  2.98  2.98  3.82  6.82 |  2.17  2.17  3.77  5.13 |  2.80  4.43  5.05  5.19 |  2.17  2.17  3.77  5.13 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  232    6   - 
1t4f 1z1m |  2.59  3.10  3.82  4.58 |  2.81  2.88  2.93  3.02 |  2.78  2.79  3.43  4.23 |  2.59  2.79  2.93  3.02 |  2.76  3.46  3.72  4.68 |  3.31  3.48  5.26  4.54 |  3.39  3.52  3.75  3.62 |  2.76  3.46  3.72  3.62 |   88    9  121
1t7r 2am9 |  1.94  2.15  2.52  3.35 |  1.61  2.05  2.05  2.13 |  1.73  1.92  2.92  1.88 |  1.61  1.92  2.05  1.88 |  1.52  1.58  1.69  2.14 |  1.57  1.93  2.60  2.22 |  1.21  1.76  2.36  2.66 |  1.21  1.58  1.69  2.14 |  250   10  250
1tp5 1tq3 |  4.28  7.19  9.28  8.47 |  1.68  1.73  2.64  3.57 |  1.15  1.45  2.46  3.76 |  1.15  1.45  2.46  3.57 |  1.40  1.40  3.57  6.44 |  3.58  5.63  7.34  7.39 |  2.62  2.62  4.70  9.68 |  1.40  1.40  3.57  6.44 |  115    6  110
1tw6 2i3i |  3.31  3.93 10.22  8.47 |  3.27  5.75 10.99 17.83 |  4.33  7.61 11.44  7.22 |  3.27  3.93 10.22  7.22 |  3.85  6.18  7.06 15.82 |  4.03  4.03  6.82 17.23 |  3.36  8.39  9.27  9.40 |  3.36  4.03  6.82  9.40 |   95    6   95
1u00  -   |  8.89  8.89 10.59 11.43 |  9.67 10.85 11.07 11.86 |  8.95  9.28  9.28 11.21 |  8.89  8.89  9.28 11.21 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  227    9   - 
1u8i  -   |  5.85 13.62 19.63 19.99 |  6.50  9.66 13.42 13.84 |  5.75  9.79 10.10 16.59 |  5.75  9.66 10.10 13.84 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  441    7   - 
1u9l  -   | 10.81 10.81 11.61 12.46 |  8.77  8.77  8.96  9.25 | 10.06 10.06 10.76 10.64 |  8.77  8.77  8.96  9.25 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  138    7   - 
1uj0  -   |  3.44  3.53  4.29  5.19 |  3.49  3.49  4.57  4.83 |  4.10  4.71  4.90  5.37 |  3.44  3.49  4.29  4.83 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |   58    9   - 
1vzq 1jwt |  2.98  4.02  6.61 10.51 |  2.76  4.50  5.03  6.71 |  3.73  5.85  6.35  7.21 |  2.76  4.02  5.03  6.71 |  9.44 14.28 17.25 17.23 |  8.68 11.80 14.42 15.36 |  9.80 14.08 17.40 19.47 |  8.68 11.80 14.42 15.36 |  250    6  299
1w9e 1r6j |  3.77  6.17 11.09 17.41 |  5.40  5.76  9.04 16.41 |  4.19 13.05 16.34 17.86 |  3.77  5.76  9.04 16.41 |  2.52  2.52  8.26  9.30 |  3.21  3.23  5.43  8.31 |  3.20  3.72  4.94  8.47 |  2.52  2.52  4.94  8.31 |  164    5   82
1x2r 1x2j |  4.95  5.02  5.04  5.10 |  2.89  4.85  6.54  7.13 |  3.89  5.00  5.78  7.10 |  2.89  4.85  5.04  5.10 |  3.92  5.08  5.42  6.00 |  3.44  3.68  5.17  5.89 |  3.57  4.92  5.81  6.54 |  3.44  3.68  5.17  5.89 |  290    9  290
1xoc  -   | 19.49 19.49 20.94 21.66 | 17.64 17.97 18.06 20.33 | 18.15 18.15 18.15 19.29 | 17.64 17.97 18.06 19.29 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  504    9   - 
1ymt  -   |  2.98  2.99  4.12  5.98 |  2.54  2.77  2.89  3.28 |  2.79  3.53  3.72  4.54 |  2.54  2.77  2.89  3.28 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  235   10   - 
1yph  -   |  4.23  5.19  5.19  7.27 |  4.03  4.03  4.66  4.63 |  3.27 12.40 13.23 13.44 |  3.27  4.03  4.66  4.63 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  228   10   - 
1yuc 3tx7 |  3.29  5.35  6.96  7.92 |  2.89  3.68  5.25  6.13 |  4.83  8.22 12.26 13.00 |  2.89  3.68  5.25  6.13 |  4.01  5.77 11.11 12.75 |  4.14  5.07  5.28  8.25 |  3.22  3.69  8.73 12.59 |  3.22  3.69  5.28  8.25 |  240   14  218
1ywo 1y0m |  2.97  5.09  5.98  7.62 |  3.95  4.25  6.80  8.07 |  4.21  4.60  6.01  6.46 |  2.97  4.25  5.98  6.46 |  3.92  4.97  5.73  7.03 |  3.53  4.83  5.45  6.21 |  4.00  5.24  5.84  8.13 |  3.53  4.83  5.45  6.21 |   55   10   61
1z9o 1z9l |  4.61  6.68  7.19  8.37 |  5.18  6.44  6.83  8.28 |  5.12  6.03  7.31  8.63 |  4.61  6.03  6.83  8.28 |  4.24  5.32  6.68  8.65 |  4.18  4.87  5.84  6.91 |  3.80  4.84  4.91  5.08 |  3.80  4.84  4.91  5.08 |  238    9  126
1zuk  -   |  2.93  3.48  4.53  5.19 |  3.18  3.18  4.58  4.43 |  3.20  3.38  3.64  4.46 |  2.93  3.18  3.64  4.43 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  130   11   - 
2a3i 2aa2 |  3.59  4.14  5.31  5.25 |  1.70  2.56  3.54  4.02 |  1.68  2.10  2.10  5.49 |  1.68  2.10  2.10  4.02 |  1.84  2.00  2.95  3.12 |  2.32  2.52  2.54  2.95 |  1.73  2.39  2.85  4.12 |  1.73  2.00  2.54  2.95 |  253   12  252
2ai4  -   |  5.94  8.48  8.51  9.49 |  9.60 11.50 14.81 15.92 |  7.93 11.00 13.87 14.01 |  5.94  8.48  8.51  9.49 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  111    8   - 
2ak5 2g6f |  3.59  3.60  4.79  6.69 |  4.29  4.29  6.56  6.57 |  3.57  3.57  5.23  5.38 |  3.57  3.57  4.79  5.38 |  3.44  3.44  6.45  6.64 |  3.25  4.50  5.08  4.94 |  3.26  5.11  6.14  7.71 |  3.25  3.44  5.08  4.94 |   64    8   59
2b1z 2iog |  0.91  1.15  1.31  1.50 |  2.28  2.51  2.52  3.46 |  0.82  1.05  1.18  1.16 |  0.82  1.05  1.18  1.16 |  9.98 10.51 14.36 23.02 |  8.77 10.68 13.32 21.29 |  9.46 10.35 15.22 20.05 |  8.77 10.35 13.32 20.05 |  238    9  243
2b9h 2b9f |  5.19  9.46  9.70 10.71 |  2.57  2.90  3.11  2.96 |  4.53  4.53 14.00 21.87 |  2.57  2.90  3.11  2.96 |  2.44  2.66  3.52  3.86 |  3.85  3.85  6.10 12.32 |  2.33  3.62  4.09  4.16 |  2.33  2.66  3.52  3.86 |  337   12  337
2bba  -   |  4.08  4.79  6.87  7.10 |  3.53  3.65  5.17  5.26 |  3.91  4.58  5.41  5.57 |  3.53  3.65  5.17  5.26 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  185   14   - 
2c3i 2j2i |  6.09  7.29  8.93 11.16 |  5.12  6.69  8.61 11.37 |  3.16  6.05  9.94 11.43 |  3.16  6.05  8.61 11.16 |  3.06  4.03 10.45 11.40 |  3.75  6.46  8.73 11.68 |  3.92  6.30  9.38 11.10 |  3.06  4.03  8.73 11.10 |  266    8  273
2cch 1h1r |  6.04  7.77 10.11 12.51 |  4.38  5.26 11.49 11.47 |  3.36  7.15 11.11 26.01 |  3.36  5.26 10.11 11.47 |  4.37  4.92  7.09  6.55 |  4.42  5.04 10.24 10.18 |  3.86  6.12  7.99  8.03 |  3.86  4.92  7.09  6.55 |  256   12  258
2d0n  -   |  3.41  3.66  4.42  6.02 |  3.27  3.67  4.23  4.68 |  2.64  2.64  4.22  5.64 |  2.64  2.64  4.22  4.68 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |   56    9   - 
2d5w  -   | 18.64 19.17 19.48 21.23 | 17.99 18.59 20.08 20.39 | 18.52 18.52 19.65 20.13 | 17.99 18.52 19.48 20.13 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  602    5   - 
2ds8 2ds7 |  4.97  4.97 10.05  9.46 |  3.25  3.25  8.87  9.77 |  2.15  2.15  5.45  9.42 |  2.15  2.15  5.45  9.42 |  5.64  5.64 11.31 11.24 |  5.44  7.26 10.81 11.85 |  3.63  7.09 10.38 12.17 |  3.63  5.64 10.38 11.24 |   41    6   40
2dze  -   |  2.39  2.71  2.71  3.13 |  2.82  2.97  3.23  3.59 |  7.08  7.45  7.80  8.58 |  2.39  2.71  2.71  3.13 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  320    6   - 
2fgr 2fgq |  6.29 13.42 14.19 15.87 |  9.80 13.72 14.80 16.07 |  4.96 13.75 13.75 16.49 |  4.96 13.42 13.75 15.87 |  7.95 14.74 15.97 17.58 | 10.19 13.38 16.67 17.32 |  7.73 13.64 14.87 14.82 |  7.73 13.38 14.87 14.82 |  332    8  330
2fmf 1jbe |  2.87  2.87  7.07  7.50 |  4.46  4.64  6.09  7.18 |  4.77  5.14  5.92  6.43 |  2.87  2.87  5.92  6.43 |  4.84  5.44  5.75  6.08 |  4.52  5.76  5.92  6.44 |  4.37  4.58  7.97 10.79 |  4.37  4.58  5.75  6.08 |  128   13  126
2fnt 3hau |  0.76  0.80  0.80  1.12 |  4.94  4.94  4.98  5.68 |  8.72  8.72  8.72 10.73 |  0.76  0.80  0.80  1.12 |  8.66 10.03 10.04 11.73 |  6.24  6.24  6.80  7.00 |  8.11  8.34  8.36  9.08 |  6.24  6.24  6.80  7.00 |  198    7  199
2foj 2f1w |  3.29  3.73  3.94  5.97 |  2.65  2.92  4.34  4.40 |  5.38  5.38  8.06 13.62 |  2.65  2.92  3.94  4.40 |  2.82  7.32  7.68  7.82 |  3.36  4.93  5.65  6.91 |  3.32  3.35  3.35  7.82 |  2.82  3.35  3.35  6.91 |  137    7  144
2fvj 2hwq |  1.62  1.82  1.82  2.43 |  1.46  1.46  1.46  3.49 |  1.73  2.86  3.31  3.66 |  1.46  1.46  1.46  2.43 |  2.25  2.82  3.31  2.78 |  1.16  1.60  2.29  2.68 |  1.17  1.17  1.36  1.49 |  1.16  1.17  1.36  1.49 |  258   10  261
2h9m 2h14 |  1.79  1.80  1.80  4.42 |  3.10  3.10  3.43  4.96 |  1.36  3.00  3.22  4.86 |  1.36  1.80  1.80  4.42 |  2.55  2.94  3.40  4.26 |  2.57  3.09  3.09  4.70 |  2.28  2.28  3.73  4.42 |  2.28  2.28  3.09  4.26 |  304    5  303
2ho2 2e45 |  4.32  6.62  8.82 15.21 |  3.94  4.89  6.48  7.04 |  3.80  5.63  6.33  5.59 |  3.80  4.89  6.33  5.59 |  4.43  5.35  7.11 17.03 |  3.38  5.57  7.04 14.19 |  4.07  7.35  7.97 10.34 |  3.38  5.35  7.04 10.34 |   33   10   52
2hpl 2hpj |  1.28  2.66  3.45  3.94 |  1.99  2.34  4.06  5.22 |  1.76  2.08  4.00  5.16 |  1.28  2.08  3.45  3.94 |  1.64  3.33  3.83  6.03 |  2.10  2.17  3.37  4.58 |  2.35  3.18  3.77  4.91 |  1.64  2.17  3.37  4.58 |  100    5   99
2ipu 1yej |  5.04  5.50  6.47  8.75 |  7.40  7.57  9.74 17.13 |  5.42  7.49 11.56 10.82 |  5.04  5.50  6.47  8.75 |  4.67  5.20 10.97 19.17 |  5.31  6.37  8.26 12.12 |  4.05  5.94  8.05  7.67 |  4.05  5.20  8.05  7.67 |  442    7  441
2iv9  -   |  5.84  7.49  8.44  8.45 |  3.91  4.10  7.82  8.30 |  3.06  4.90  6.59  6.73 |  3.06  4.10  6.59  6.73 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  469    9   - 
2j6f 2j6k |  2.96  5.25 11.17 11.37 |  3.33  3.49  3.95  5.29 |  2.98  3.73  4.42  5.37 |  2.96  3.49  3.95  5.29 |  3.27  3.80  4.07  7.30 |  2.98  3.39  3.39  5.62 |  2.77  3.06  3.34  4.03 |  2.77  3.06  3.34  4.03 |   57    8   57
2jam  -   |  4.98  7.86 12.70 15.99 |  4.34  7.51 11.81 17.20 |  6.16  8.41 12.80 13.62 |  4.34  7.51 11.81 13.62 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  279    6   - 
2o02 3rdh |  3.99  5.54  6.41  6.68 |  3.97  4.08  4.86  4.92 |  3.54  3.71  4.00  5.19 |  3.54  3.71  4.00  4.92 |  3.79  4.13  6.16  6.95 |  3.58  3.93  4.24  6.28 |  3.88  3.91  4.88  4.96 |  3.58  3.91  4.24  4.96 |  224   14  233
2o4j 1ie9 |  1.49  2.26  2.41  2.81 |  1.54  2.02  2.69  2.95 |  6.07  7.81 11.78 12.76 |  1.49  2.02  2.41  2.81 |  6.93 11.86 13.99 23.44 |  4.85  7.75 10.22 12.85 |  6.88 10.98 12.36 15.34 |  4.85  7.75 10.22 12.85 |  240   12  255
2o9v 2o9s |  3.64  3.85  5.40  6.60 |  3.76  4.35  5.36  9.44 |  3.38  3.73  4.60  5.39 |  3.38  3.73  4.60  5.39 |  3.24  3.86  5.01  6.96 |  3.23  4.87  5.68  6.36 |  3.92  4.36  5.48  6.85 |  3.23  3.86  5.01  6.36 |   67   10   67
2otu  -   |  4.33  4.33 16.41 15.01 |  3.15  4.24  6.09  8.79 |  4.57  7.24 16.38 21.54 |  3.15  4.24  6.09  8.79 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  233   11   - 
2p0w  -   |  5.88  7.98  7.98 14.35 |  6.05 14.01 14.57 15.25 |  6.26  6.26  6.38 15.07 |  5.88  6.26  6.38 14.35 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  319   15   - 
2p1k  -   |  3.52  4.76  5.27  5.38 |  6.33  9.82 10.00 10.33 |  2.47  2.47  3.06  4.08 |  2.47  2.47  3.06  4.08 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |   87   11   - 
2p1t 3nsq |  0.97  1.34  1.35  1.37 |  1.38  1.61  2.15  2.79 |  0.90  0.90  1.30  1.44 |  0.90  0.90  1.30  1.37 |  3.19  4.38  6.44 10.29 |  2.82  3.91  4.37  8.73 |  2.40  2.64  3.76  5.76 |  2.40  2.64  3.76  5.76 |  211   10  193
2p54 1i7g |  3.35  3.35  3.54  3.96 |  3.07  3.07  3.61  3.85 |  1.66  2.25  2.61  2.02 |  1.66  2.25  2.61  2.02 |  1.68  2.01  2.87  7.90 |  2.26  2.47  2.78  3.38 |  1.75  1.83  1.83  1.87 |  1.68  1.83  1.83  1.87 |  267   12  259
2puy 2yql |  6.13  7.84 18.61 21.21 |  6.30  6.30 10.36 10.35 |  3.63  3.63  8.70 12.44 |  3.63  3.63  8.70 10.35 |  4.57  4.99  6.49  7.59 |  3.29  3.29  7.69  9.57 |  6.50  7.18  8.39 13.12 |  3.29  3.29  6.49  7.59 |   60   10   58
2pv2  -   |  2.27  2.27  3.60  3.77 |  3.26  3.81  4.73  5.82 |  1.72  1.72  1.72  4.43 |  1.72  1.72  1.72  3.77 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  206   12   - 
2qos 1lf7 |  3.11  4.16  6.57  6.88 |  3.53  4.83  5.87  6.79 |  3.17  3.94  4.65  5.76 |  3.11  3.94  4.65  5.76 |  5.68  7.47  7.60  7.74 |  4.10  4.97  4.98  4.83 |  4.89  5.53  6.87  7.59 |  4.10  4.97  4.98  4.83 |  173   11  164
